predicted_answer,actual_answer,사고원인,인적사고
안전 교육 강화 및 개인 보호 장비 착용 의무화를 통해 근로자의 안전 의식 제고 및 위험 행동 예방. 정기적인 안전 점검 실시로 위험 요소 사전 식별 및 개선 조치 마련.,해당 공종 특별안전교육 및 전 근로자 사고사례전파 교육과 불안전한 행동 예방을 위한 점검 확대.,근로자의 불안전한 행동(방화문틀 시건장치 타공 부위 손을 집어 넣고 이동),"절단, 베임"
안전 교육 강화 및 작업 절차 재검토를 통해 부주의 방지 조치 완료.,작업전 사고예방을 위한 교육 실시와 마대 흙담기 작업 시 전용틀 제작 사용을 포함한 재발 방지 대책 및 향후 조치 계획.,1톤마대 흙담기 부주의,물체에 맞음
근로자 교육 강화와 표준 작업 절차 준수 의무화로 재발 방지 대책 수립. 정기적인 안전 점검 실시 예정.,TBM 시 당일 작업에 대한 위험요일 및 개선방안에 대한 전파교육과 사고사례 전파교육의 철저한 실시.,근로자 판단에 의한 비정상적 자재 운반,넘어짐(기타)
덕트자재 적재 시 안전장비 착용 의무화 및 적재 과정에서의 안전 감독 강화를 통해 재발 방지. 정기적인 안전 교육과 안전 점검 실시 예정.,2인1조 작업 시 신호체계를 확립하여 덕트를 운반하고 적재함 문을 닫는 작업 이행.,2인1조로 덕트자재를 1톤 화물차에 적재후 적재함 문을 닫으면서 우 제4수지가 협착되어 골절 발생.,끼임
피난구 커버 체결 의무화 및 안전 교육 강화,"사고 발생 내용의 근로자 전파와 하향식 피난구 커버 설치 상태 전수조사, 나사 체결 및 추락 위험 표지 부착, 근로자 안전교육의 철저함.",알폼 작업자들이 하향식 피난구 커버를 열고 자재를 이동한 후 피난구 커버 나사를 체결하지 않고 얹어 놓은 상태에서 재해자가 이를 모르고 밟아 커버가 미끄러짐,부딪힘
작업 종료 후 안전 확인 절차 강화 및 현장 대리인 대상 안전 교육 실시.,동절기 시공계획서 접수 및 검토와 건물 주변 미끄럼 사고 우려 구간에 대한 미끄럼 방지조치 실시 예정.,현장 작업종료 후 현장대리인 퇴근 전 본인 차량으로 이동 간 단순 과실로 인해 넘어짐,넘어짐(기타)
"작업 전 노면 상태 점검 강화 및 안전 장비(예: 햇빛 차단 안경) 제공 의무화를 통해 시야 확보를 개선하고, 정기적인 안전 교육을 통해 운전자의 주의력과 대응 능력 향상을 도모합니다.",작업자 안전교육 및 작업장 현장관리에 대한 철저한 관리와 재해자 병원진료 및 치료에 대한 안전지도의 필요성.,재해자는 덤프트럭 사토운반을 하다가 사토장 안에서 덤프트럭 후진중 노면불량 및 백미러 햇빛반사로 인하여 시야가 눈부셔 덤프트럭이 전복되었음,기타
"수압테스트 완료 후 공기압테스트는 별도로 진행하지 않으며, 곡관 연결 부위의 안전성 점검 강화와 근로자 안전 교육 강화를 통해 재발 방지.",노동청에서 재발 방지 대책과 향후 조치 계획을 검토 중인 상황.,수압테스트 이후 별도 시행한 공기압테스트 중 곡관이 이탈하면서 불의의 사고 발생,물체에 맞음
안전 교육 강화와 작업 절차 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,안전교육과 현장관리 철저를 통한 재발 방지 대책.,작업자 과실에 따른 자재 충돌,물체에 맞음
"안전 교육 강화와 작업 절차 개선을 통해 로프 결속 기준 엄격히 준수하도록 하고, 안전 장비 점검을 정기적으로 실시하여 재발 방지.",원인 파악 후 작업자 안전교육 실시 및 작업 방법 개선 조치 예정.,거푸집 해체 인양 작업중 로프 결속 부적절하여 거푸집 낙하되어 인접 근로자 충격.,물체에 맞음
보행 안전 교육 강화와 작업 구역 내 장애물 제거를 포함한 재발 방지 대책 및 향후 조치 계획 수립.,작업 구간 및 자재 보관 상태의 수시 확인과 작업 전후 주변 정리정돈 철저.,보행 중 주의 부족,넘어짐(물체에 걸림)
안전 교육 강화와 함께 작업 자세 교정 훈련 실시 및 안전 장비 사용 의무화.,철근 조립작업 시 숙력공 배치와 작업 전 안전교육을 통한 안전의식 고취 및 현장 수시점검을 통한 관리감독자의 안전관리 철저 지도가 필요함.,"지하부차장 슬래브 철근 결속 작업 중 앉은 자세에서 뒷걸음으로 움직이던 중 넘어지면서, 왼손 약지가 철근에 걸려 약지 끝마디 골절사고(협착사고) 발생",끼임
"작업발판 설치 시 락위험장소 확인 강화 및 생명줄 설치 의무화, 모든 작업자에게 안전고리 체결 교육 실시 및 점검 강화.",해당 작업구간의 작업방법 변경과 생명줄 설치를 통한 추락위험 제거.,"락위험장소에 작업발판 설치 등 안전대책 수립 미흡, 생명줄을 미설치하고 수직철근에 안전고리 체결",떨어짐(분류불능)
작업 구역 내 안전 경계 설치 강화와 장비 운용 교육 강화를 통해 재발 방지. 정기적인 안전 점검 실시 예정.,"주기적 안전교육, 현장안전관리자 인원확대, 지속적 안전관리감독체계 구축, 관련기관 합동조사 및 재발방지대책 수립 등으로 구성된 재발 방지 대책.",백호장비 1대가 자재정리 작업중 근로자가 하부로 낙상,떨어짐(3미터 이상 ~ 5미터 미만)
타워크레인 운용 교육 강화 및 안전 점검 절차 엄격히 준수하도록 관리 체계 개선,"건설현장 안전교육, 현장관리 점검 및 부상자 사후 모니터링 실시.",지상1층 바닥 에서 전일 가거치된 HCS(공장제작 콘크리트 슬라브 구조믈)PC 슬라브를 줄걸이를 이용 체결후 초기 양중시 타워크레인 트롤리 인양위치의 중심(좌우상하)불일치로 인양물의 순간쏠림(바운딩)을 저지하려 밀던중 부재에 밀리면서 PC슬라브 청소홀(105mm*850mm)에  실족되어 오른쪽 발목이 골절된 재해임.,떨어짐(2미터 미만)
안전 교육 강화와 작업 현장 표시물 설치를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"굴착공사 안전수칙 및 작업순서 숙지, 근로자 안전교육 실시, 현장 내 건설기계 양중 작업 시 신호수 배치 및 신호를 통한 작업 실시, 개인 안전보호구 착용 철저.",주변의 측면 말뚝을 주의하지 않고 철판을 잡음,부딪힘
"안전 교육 강화와 개인 보호 장비(PPE) 의무 착용 규정 엄격히 시행하며, 작업 공간 안전 점검을 정기적으로 실시하여 위험 요소를 사전에 제거합니다.",근로자가 위험을 안고 작업하지 않도록 시공방법을 변경하여 작업발판에서 차량 탑재형 고소작업대로 변경함으로써 옥상구간의 원천위험 요인을 제거하고 안전관리 및 재발 방지 대책을 강화할 계획.,작업자가 외부도장 작업 준비 중 실족하여 추락,떨어짐(10미터 이상)
안전 교육 강화와 장비 안전 점검을 정기적으로 실시하여 운전원의 주의력 향상 및 장비 안전성 확보.,"근로자 특별교육 실시를 통한 불안전한 행동 주의, 장비운전원 발판 폭 확대설치 및 사고위치 이동식 계단 설치와 지속적인 안전관리로 인한 재발 방지 대책.",지하연속벽 장비(BC커터) 운전원이 장비에서 지면으로 내려오던 중 넘어짐,넘어짐(기타)
"안전 교육 강화 및 정기적인 장비 점검 실시, 사고 원인 분석 후 크레인 제원 재검토 및 안전 매뉴얼 업데이트 예정.",크롤러 크레인 작업자 및 관련 협력업체 관리자 교육과 현장 내 장비작업 전 관련 교육 실시 및 작업 전 TBM시 관련 내용 교육 실시.,크롤러크레인 제원하중 총과로 전도,없음
"안전 교육 강화와 함께 작업 공간의 안전 경계 설치 및 작업 절차 개선을 통해 위험 요소를 최소화하고, 정기적인 안전 점검을 실시하여 재발 방지를 확보합니다.",해당업체 근로자 특별안전교육 실시와 해체 및 정리 작업구간 관리 감독 철저.,"재해자가 보행자 통로 하부 형틀 해체 후, 해당자재 정리작업을 하던 중에 해체된 각재를 밟는 순간 해당각재가 튀어올라 오른쪽 얼굴 부근이 찍힌 상황",물체에 맞음
"안전 교육 강화를 통해 미끄러짐 위험 인지 제고, 작업 경로 표시 및 미끄럼 방지 장치 설치 확대, 정기적인 안전 점검 실시 및 즉시 보수 조치 취하기.",작업자 안전유의 계도의 재발 방지 대책 및 향후 조치 계획.,이동 중 발을 헛디딤(발목염좌 등),넘어짐(미끄러짐)
"작업자 안전 교육 강화, 작업 경로 및 장애물 관리 체계 구축, 정기적인 작업장 점검 실시.","와이어로프 등은 육안으로 인식할 수 있도록 조치하고, 갱폼발판 등 근로자 이동통로에는 자재 등 적재 금지 조치를 시행하는 방안.",,넘어짐(물체에 걸림)
"안전교육 강화와 정기적인 안전 점검 실시를 통해 재발 방지 대책을 마련하고, 향후 모든 작업자에게 데크플레이트 고정 상태 확인 의무를 부과하며, 안전모 착용 의무화를 통해 위험 요소를 최소화할 계획입니다.",안전교육 재교육 실시와 안전 보호 조치 재점검.,고정되지 않은 데크플레이트 위에 서서 데크 조정(불안전한 행동)으로 인해 발생.,떨어짐(3미터 이상 ~ 5미터 미만)
추락방지망 설치 의무화 및 작업자 안전 교육 강화를 포함한 안전 점검 프로토콜 개선을 통해 재발 방지에 나설 것입니다. 정기적인 안전 점검과 훈련 프로그램 확대를 통해 향후 유사 사고 예방에 주력할 계획입니다.,시스템비계 및 구조물 사이 추락방지망 보강과 안전교육 철저.,작업자의 단순과실 및 추락방지망 미흡,떨어짐(10미터 이상)
"작업 발판 높이 조정 및 안정성 강화, 작업자에게 안전 발판 사용 교육 실시, 작업 시 보조 작업자 배치 및 지속적인 안전 모니터링 강화.",고소작업 시 난간 있는 틀비계나 고소작업대로 교체 사용.,작업발판(60cm)에서 작업중 중심잃고 떨어짐,떨어짐(분류불능)
"작업 전 잔여 콘크리트 확인 절차 엄격히 준수하고, 안전 교육 강화를 통한 재발 방지 대책과 향후 조치 계획 수립.","펌프카 하부 접근 지양 및 부득이 접근 시 잔여 콘크리트 확인, 산재 처리와 재해 예방 토론회 실시, 사고 사례 전 근로자 전파를 통한 재발 방지 대책.",하부 접근 시 잔여 콘크리트 확인 미흡,물체에 맞음
"보안경 착용 의무화 강화 및 정기적인 안전 교육 실시, 사고 발생 시 즉시 안전 점검 및 개선 조치 취하기.",사고사례 공유와 개인보호구 착용 교육 실시,경비동 벽체 거푸집 설치 후 전도방지지지대 고정을 위해 바닥에 쐐기목 설치중 못으로 고정하기위해 박던 중  못이 튕겨 오르면서 보안경착용을 하지 않아 왼쪽 눈을 타격함,물체에 맞음
향후 조치 계획은 경사면 작업 시 철저한 구름방지조치 실시와 정기적인 안전 교육 강화를 포함합니다.,"사고사례 전파 및 재발방지 교육과 사면부 차량 정차 금지, 작업 시 건설기계운전자 하차 금지에 대한 향후 조치 계획.",경사면 주차 시 구름방지조치 미실시,깔림
전동톱 사용 시 안전장구 착용 의무화 및 정기적인 안전 교육 강화를 통해 재발 방지.,안전교육을 통한 공기구 올바른 사용법 교육으로 동일 형태의 재해 발생 예방.,골조공사 중 거푸집 작업 中 목재 절단을 위해 전동톱을 이용해 장갑이 톱날에 말려들면서 업지손톱부위가 함몰된 사고가 발생,끼임
안전 교육 강화와 정기적인 장비 점검 실시 계획 수립.,재발 방지 안전교육 실시와 작업 전 와이어 체결 상태 확인을 통한 안전사고 방지 조치 계획.,파일천공기 파일두부캡의 와이어가 이탈하여 작업자위로 낙하하여 사고가 발생함.,물체에 맞음
"신호 체계 강화 및 명확한 무전기 사용 의무화, 양중작업 전 철저한 안전 점검 실시, 정기적인 신호 및 통신 훈련 제공, 사고 사례 공유를 통한 안전 의식 제고 및 재발 방지 교육 강화.",타워신호수 신호 교육 및 관련 안전교육 철저 시행.,보 설치 작업 중 신호수와 타워크레인 기사 간 무전신호 오류로 인해 갑자기 보가 들리면서 보설치 중이던 작업자가 추락하는 사고 발생,떨어짐(2미터 이상 ~ 3미터 미만)
